dataset,benchmark,inputs,outputs,size,depth,has-simd,threads,computers,bitset-size,has-cache,has-gray-code,has-sort,has-watch,max-memory,sum-memory,same-found,done,complete,time,energy,ids
MCNC,mux,21,1,109,13,1,2,1,0,0,0,0,0,16064512,16064512,0,1,1,0.006113613,85.84309514752947,118
MCNC,mux,21,1,109,13,1,4,1,0,0,0,0,0,16224256,16224256,0,1,1,0.0049425499999999995,85.84309514752947,119
MCNC,my_adder,33,17,227,49,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,120
MCNC,my_adder,33,17,227,49,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,121
MCNC,my_adder,33,17,227,49,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,122
MCNC,pcler8,27,17,116,11,1,1,1,0,0,0,0,0,910520320,910520320,0,1,1,0.532301474,52.82867668273253,123
MCNC,pcler8,27,17,116,11,1,2,1,0,0,0,0,0,910618624,910618624,0,1,1,0.37589280399999997,52.82867668273253,124
MCNC,pcler8,27,17,116,11,1,4,1,0,0,0,0,0,910127104,910127104,0,1,1,0.32095296700000003,52.82867668273253,125
MCNC,seq,41,35,2488,29,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,126
MCNC,seq,41,35,2488,29,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,127
MCNC,seq,41,35,2488,29,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,128
MCNC,signet,39,8,345,15,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,129
MCNC,signet,39,8,345,15,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,130
MCNC,signet,39,8,345,15,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,131
MCNC,t1,21,23,382,17,1,1,1,0,0,0,0,0,31727616,31727616,0,1,1,0.0267645,311.9864452926923,132
MCNC,t1,21,23,382,17,1,2,1,0,0,0,0,0,31887360,31887360,0,1,1,0.021242836,311.9864452926923,133
MCNC,t1,21,23,382,17,1,4,1,0,0,0,0,0,31940608,31940608,0,1,1,0.016673389,311.9864452926923,134
MCNC,term1,34,10,357,16,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,135
MCNC,term1,34,10,357,16,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,136
MCNC,term1,34,10,357,16,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,137
MCNC,too_large,38,3,866,30,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,138
MCNC,too_large,38,3,866,30,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,139
MCNC,too_large,38,3,866,30,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,140
MCNC,ts10,22,16,249,9,1,1,1,0,0,0,0,0,34742272,34742272,0,1,1,0.034682894,204.0860472067145,141
MCNC,ts10,22,16,249,9,1,2,1,0,0,0,0,0,34635776,34635776,0,1,1,0.025208299,204.0860472067145,142
MCNC,ts10,22,16,249,9,1,4,1,0,0,0,0,0,34463744,34463744,0,1,1,0.020522008,204.0860472067145,143
MCNC,ttt2,24,21,264,11,1,1,1,0,0,0,0,0,187236352,187236352,0,1,1,0.14926219899999998,208.34765573505086,144
MCNC,ttt2,24,21,264,11,1,2,1,0,0,0,0,0,187023360,187023360,0,1,1,0.10823788100000001,208.34765573505086,145
MCNC,ttt2,24,21,264,11,1,4,1,0,0,0,0,0,186478592,186478592,0,1,1,0.092905048,208.34765573505086,146
MCNC,unreg,36,16,165,5,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,147
MCNC,unreg,36,16,165,5,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,148
MCNC,unreg,36,16,165,5,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,149
MCNC,vg2,25,8,191,11,1,1,1,0,0,0,0,0,310927360,310927360,0,1,1,0.241323687,148.84994028818068,150
MCNC,vg2,25,8,191,11,1,2,1,0,0,0,0,0,310951936,310951936,0,1,1,0.17071050399999999,148.84994028818068,151
MCNC,vg2,25,8,191,11,1,4,1,0,0,0,0,0,310587392,310587392,0,1,1,0.146958519,148.84994028818068,152
MCNC,vtx1,27,6,190,12,1,1,1,0,0,0,0,0,1212846080,1212846080,0,1,1,0.991955209,148.8812456754053,153
MCNC,vtx1,27,6,190,12,1,2,1,0,0,0,0,0,1212710912,1212710912,0,1,1,0.7052648850000001,148.8812456754053,154
MCNC,vtx1,27,6,190,12,1,4,1,0,0,0,0,0,1212358656,1212358656,0,1,1,0.615218442,148.8812456754053,155
MCNC,x1dn,27,6,190,12,1,1,1,0,0,0,0,0,1212854272,1212854272,0,1,1,0.986846174,148.8812456754053,156
MCNC,x1dn,27,6,190,12,1,2,1,0,0,0,0,0,1212821504,1212821504,0,1,1,0.70584427,148.8812456754053,157
MCNC,x1dn,27,6,190,12,1,4,1,0,0,0,0,0,1212284928,1212284928,0,1,1,0.6236882850000001,148.8812456754053,158
MCNC,x6dn,39,5,557,21,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,159
MCNC,x6dn,39,5,557,21,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,160
MCNC,x6dn,39,5,557,21,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,161
MCNC,x9dn,27,7,191,12,1,1,1,0,0,0,0,0,1212841984,1212841984,0,1,1,0.9819006809999999,148.8812456754053,162
MCNC,x9dn,27,7,191,12,1,2,1,0,0,0,0,0,1212747776,1212747776,0,1,1,0.694381858,148.8812456754053,163
MCNC,x9dn,27,7,191,12,1,4,1,0,0,0,0,0,1212678144,1212678144,0,1,1,0.6198367530000001,148.8812456754053,164
MCNC,xparc,41,73,5224,47,1,1,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,165
MCNC,xparc,41,73,5224,47,1,2,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,166
MCNC,xparc,41,73,5224,47,1,4,1,0,0,0,0,0,8589934592,8589934592,0,0,0,0.0,0.0,167
